normalTime ,criticalTime ,miscTime ,totTime  ,borderSize
         0 ,    0.142777 ,       0 ,0.142777 ,  37.5563
         0 ,    0.183434 ,       0 ,0.183434 ,  72.669
         0 ,    0.961731 ,       0 ,0.961731 ,  78.0833
         0 ,    0.212063 ,       0 ,0.212063 ,  53.3848
         0 ,    0.101557 ,       0 ,0.101557 ,  43.0711
         0 ,    0.190431 ,       0 ,0.190431 ,  60.6985
         0 ,    0.320284 ,       0 ,0.320284 ,  60.1838
         0 ,    0.111915 ,       0 ,0.111915 ,   6.65685
         0 ,    0.121994 ,       0 ,0.121994 ,  26.7279
         0 ,    0.320987 ,       0 ,0.320987 ,  77.9411
         0 ,    0.345907 ,       0 ,0.345907 ,  61.1127
         0 ,    0.083691 ,       0 ,0.083691 ,  24.4853
         0 ,    0.195981 ,       0 ,0.195981 ,  37.2132
         0 ,    0.149792 ,       0 ,0.149792 ,  39.6274
         0 ,    0.165726 ,       0 ,0.165726 ,  38.799
         0 ,    0.501979 ,       0 ,0.501979 ,  81.6985
         0 ,    0.124726 ,       0 ,0.124726 ,  26.1421
         0 ,    0.195838 ,       0 ,0.195838 ,  57.9706
         0 ,    0.169648 ,       0 ,0.169648 ,  39.799
         0 ,    0.138438 ,       0 ,0.138438 ,  74.1421
         0 ,    1.21491  ,       0 ,1.21491  ,  82.2548
         0 ,    0.765111 ,       0 ,0.765111 ,  90.1127
         0 ,    0.16241  ,       0 ,0.16241  ,  52.2843
         0 ,    0.930038 ,       0 ,0.930038 ,  69.598
         0 ,    0.144224 ,       0 ,0.144224 ,  35.799
         0 ,    0.483504 ,       0 ,0.483504 ,  72.8406
         0 ,    0.29146  ,       0 ,0.29146  ,  62.2132
         0 ,    1.24162  ,       0 ,1.24162  ,  77.0122
         0 ,    1.44528  ,       0 ,1.44528  ,  83.7696
         0 ,    0.117881 ,       0 ,0.117881 ,  45.9706
         0 ,    0.821867 ,       0 ,0.821867 ,  59.9411
         0 ,    0.161543 ,       0 ,0.161543 ,  44.4558
         0 ,    0.243865 ,       0 ,0.243865 ,  42.9706
         0 ,    0.264358 ,       0 ,0.264358 ,  52.5269
         0 ,    0.266226 ,       0 ,0.266226 ,  69.2548
         0 ,    0.176617 ,       0 ,0.176617 ,  34.7279
         0 ,    0.368698 ,       0 ,0.368698 ,  73.7401
         0 ,    0.197834 ,       0 ,0.197834 ,  47.5563
         0 ,    0.685229 ,       0 ,0.685229 ,  66.7696
         0 ,    0.480386 ,       0 ,0.480386 ,  52.2132
         0 ,    0.366758 ,       0 ,0.366758 ,  48.2843
         0 ,    0.109683 ,       0 ,0.109683 ,  27.3137
         0 ,    0.218552 ,       0 ,0.218552 ,  57.8406
         0 ,    0.15755  ,       0 ,0.15755  ,  66.3553
         0 ,    0.135504 ,       0 ,0.135504 ,  45.0416
         0 ,    0.111931 ,       0 ,0.111931 ,  28.7279
