normalTime ,criticalTime ,miscTime ,totTime  ,borderSize ,Intersect Border - Length: 53.041631 ,Find Concave Points ,Visibility Graph Init ,A* Search
         0 ,    0.15892  ,       0 ,0.15892  ,  34.3848  ,                            0.044446 ,           0.000526 ,             0.000341 , 0.113607
         0 ,    0.127677 ,       0 ,0.127677 ,  39.799   ,                            0.051562 ,           0.000485 ,             0.000333 , 0.075297
         0 ,    0.105667 ,       0 ,0.105667 ,  36.1421  ,                            0.051168 ,           0.000399 ,             0.000278 , 0.053822
         0 ,    1.04532  ,       0 ,1.04532  ,  80.2548  ,                            0.086219 ,           0.000803 ,             0.000562 , 0.957737
         0 ,    0.152717 ,       0 ,0.152717 ,  35.5563  ,                            0.071402 ,           0.000696 ,             0.00123  , 0.079389
         0 ,    0.273819 ,       0 ,0.273819 ,  73.1127  ,                            0.079431 ,           0.000563 ,             0.000325 , 0.1935
         0 ,    0.167004 ,       0 ,0.167004 ,  53.4558  ,                            0.069895 ,           0.000607 ,             0.00033  , 0.096172
         0 ,    0.095539 ,       0 ,0.095539 ,  37.5563  ,                            0.045362 ,           0.000442 ,             0.000256 , 0.049479
         0 ,    0.8232   ,       0 ,0.8232   ,  78.669   ,                            0.082651 ,           0.000976 ,             0.000563 , 0.73901
         0 ,    0.224344 ,       0 ,0.224344 ,  62.6985  ,                            0.071703 ,           0.0008   ,             0.000532 , 0.151309
         0 ,    0.15769  ,       0 ,0.15769  ,  44.6985  ,                            0.056542 ,           0.000598 ,             0.000321 , 0.100229
         0 ,    0.182155 ,       0 ,0.182155 ,  46.9706  ,                            0.069101 ,           0.000608 ,             0.000381 , 0.112065
         0 ,    0.414834 ,       0 ,0.414834 ,  84.1127  ,                            0.060593 ,           0.000602 ,             0.000379 , 0.35326
         0 ,    0.090246 ,       0 ,0.090246 ,  37.6274  ,                            0.040577 ,           0.000385 ,             0.00031  , 0.048974
         0 ,    0.149904 ,       0 ,0.149904 ,  40.1421  ,                            0.066788 ,           0.000513 ,             0.000292 , 0.082311
         0 ,    0.174003 ,       0 ,0.174003 ,  46.2132  ,                            0.085521 ,           0.00054  ,             0.000454 , 0.087488
         0 ,    0.103047 ,       0 ,0.103047 ,  32.4853  ,                            0.057325 ,           0.000296 ,             0.000715 , 0.044711
         0 ,    0.159523 ,       0 ,0.159523 ,  51.4558  ,                            0.052368 ,           0.00056  ,             0.000502 , 0.106093
         0 ,    0.183563 ,       0 ,0.183563 ,  54.7696  ,                            0.049622 ,           0.000523 ,             0.000304 , 0.133114
         0 ,    0.073282 ,       0 ,0.073282 ,   6.24264 ,                            0.032334 ,           0.000318 ,             0.000277 , 0.040353
         0 ,    0.10387  ,       0 ,0.10387  ,  32.4853  ,                            0.052975 ,           0.000296 ,             0.00027  , 0.050329
         0 ,    0.127045 ,       0 ,0.127045 ,  54.3137  ,                            0.065964 ,           0.000425 ,             0.000385 , 0.060271
         0 ,    0.168421 ,       0 ,0.168421 ,  45.5563  ,                            0.055249 ,           0.000475 ,             0.000321 , 0.112376
         0 ,    0.233871 ,       0 ,0.233871 ,  64.4264  ,                            0.078953 ,           0.000689 ,             0.000478 , 0.153751
         0 ,    0.113383 ,       0 ,0.113383 ,  23.7279  ,                            0.045729 ,           0.00041  ,             0.000335 , 0.066909
         0 ,    0.151396 ,       0 ,0.151396 ,  39.799   ,                            0.063677 ,           0.000657 ,             0.000838 , 0.086224
         0 ,    1.21201  ,       0 ,1.21201  ,  84.1127  ,                            0.086825 ,           0.000795 ,             0.000793 , 1.1236
         0 ,    0.371838 ,       0 ,0.371838 ,  57.1127  ,                            0.057999 ,           0.000743 ,             0.000457 , 0.312639
